epoch,acc,loss,val_acc,val_loss
0,0.6600895724083818,5.476330902118305,0.6632492113564669,5.427781366775465
1,0.660596586087678,5.470536634610556,0.6632492113564669,5.427781366775465
2,0.6605965861481188,5.4705366206688915,0.6632492113564669,5.427781366775465
3,0.6605965861481188,5.470536621958295,0.6632492113564669,5.427781366775465
4,0.660596586087678,5.47053662622944,0.6632492113564669,5.427781366775465
5,0.6605965861481188,5.470536634207618,0.6632492113564669,5.427781366775465
6,0.6605965861078249,5.470536629291771,0.6632492113564669,5.427781366775465
7,0.6605965861078249,5.470536638962289,0.6632492113564669,5.427781366775465
8,0.6605965861481188,5.470536636464073,0.6632492113564669,5.427781366775465
9,0.6605965861279718,5.470536627921781,0.6632492113564669,5.427781366775465
10,0.660596586087678,5.47053663138705,0.6632492113564669,5.427781366775465
11,0.6605965861481188,5.470536632918216,0.6632492113564669,5.427781366775465
12,0.6605965861279718,5.470536623731223,0.6632492113564669,5.427781366775465
13,0.6605965861380453,5.470536619782428,0.6632492113564669,5.427781366775465
14,0.6605965861178984,5.470536622844759,0.6632492113564669,5.427781366775465
